,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
324,02070101901,2,7,1,19,1,2,2,5,2,,1.0,1.0,
325,02070101901,2,7,1,19,1,2,2,6,2,,1.0,1.0,
326,02070101901,2,7,1,19,1,2,2,7,2,,1.0,1.0,
327,02070101901,2,7,1,19,1,2,2,8,2,,1.0,1.0,
328,02070101901,2,7,1,19,1,2,2,9,2,,1.0,1.0,
329,02070101901,2,7,1,19,1,2,2,10,2,,1.0,1.0,
330,02070101901,2,7,1,19,1,2,2,11,2,,1.0,1.0,
331,02070101901,2,7,1,19,1,2,2,12,2,,1.0,1.0,
332,02070101901,2,7,1,19,1,2,2,13,2,,1.0,1.0,
333,02070101901,2,7,1,19,1,2,2,14,2,,1.0,1.0,
334,02070101901,2,7,1,19,1,2,2,15,2,,1.0,1.0,
335,02070101901,2,7,1,19,1,2,2,16,2,,1.0,1.0,
336,02070101901,2,7,1,19,1,2,2,17,2,,1.0,1.0,
337,02070101901,2,7,1,19,1,2,2,18,2,,1.0,1.0,
338,02070101901,2,7,1,19,1,2,2,19,2,,1.0,1.0,
339,02070101901,2,7,1,19,1,2,2,20,2,,1.0,1.0,
340,02070200101,2,7,2,1,1,1,1,1,1,15.0,,,
341,02070200101,2,7,2,1,1,1,1,2,1,3.0,,,
342,02070200101,2,7,2,1,1,1,1,3,1,6.0,,,
343,02070200101,2,7,2,1,1,1,1,4,2,,1.0,2.0,
344,02070200101,2,7,2,1,1,1,1,5,1,8.0,,,
345,02070200101,2,7,2,1,1,1,1,6,1,4.0,,,
346,02070200101,2,7,2,1,1,1,1,7,1,3.0,,,
347,02070200101,2,7,2,1,1,1,1,8,2,,2.0,2.0,
348,02070200101,2,7,2,1,1,1,1,9,1,4.0,,,
349,02070200101,2,7,2,1,1,1,1,10,2,,1.0,2.0,
350,02070200101,2,7,2,1,1,1,1,11,1,2.0,,,1.0
351,02070200101,2,7,2,1,1,1,1,12,2,,1.0,2.0,
352,02070200101,2,7,2,1,1,1,1,13,1,3.0,,,1.0
353,02070200101,2,7,2,1,1,1,1,14,2,,1.0,1.0,
354,02070200101,2,7,2,1,1,1,1,15,1,3.0,,,1.0
355,02070200101,2,7,2,1,1,1,1,16,2,,1.0,2.0,
356,02070200101,2,7,2,1,1,1,1,17,2,,1.0,2.0,
357,02070200101,2,7,2,1,1,1,1,18,2,,1.0,2.0,
