,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
125,04360101005,4,36,1,10,5,1,5,1,,,,,-888.0,-888.0,1.0,1700.0,20.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,1.0,2009.0,1.0,3.0,7.0,4.0,2.0,2.0,5.0,2,
126,04360101005,4,36,1,10,5,1,10,1,,,,,40.0,-888.0,2.0,6000.0,100.0,2.0,,,,24.0,,4.0,,1.0,2.0,,,,8.0,2.0,4.0,2.0,2.0,2.0,2,
127,04360101402,4,36,1,14,2,1,4,1,,,,,25.0,-888.0,2.0,5000.0,200.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,12.0,2009.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2,
128,04381000108,4,38,10,1,8,1,1,1,,,,,-888.0,-888.0,3.0,400.0,500.0,1.0,2.0,2.0,-888.0,24.0,4.0,4.0,1.0,1.0,1.0,1.0,2009.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2,
129,04381001704,4,38,10,17,4,2,4,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0
130,04381100101,4,38,11,1,1,1,1,1,,,,,-888.0,0.0,2.0,2000.0,200.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,12.0,2009.0,3.0,6.0,3.0,4.0,2.0,2.0,3.0,2,
131,04381100116,4,38,11,1,16,1,11,1,,,,,-888.0,40000.0,3.0,1600.0,0.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,2.0,,,,1.0,3.0,5.0,3.0,2.0,4.0,2,
132,04381100116,4,38,11,1,16,1,111,1,,,,,-888.0,-888.0,1.0,2900.0,0.0,2.0,,,,24.0,,4.0,,1.0,1.0,12.0,2009.0,2.0,3.0,,1.0,1.0,1.0,2.0,2,
133,04381100516,4,38,11,5,16,1,16,1,,,,,20.0,-888.0,3.0,50.0,0.0,2.0,,,,24.0,,4.0,,1.0,1.0,12.0,2008.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2,
134,04381100606,4,38,11,6,6,1,6,1,,,,,20.0,40000.0,3.0,2000.0,20.0,2.0,,,,24.0,,4.0,,1.0,1.0,1.0,2009.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2,
135,04390300402,4,39,3,4,2,2,1,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
136,04390300601,4,39,3,6,1,2,1,1,,,,,5.0,1200.0,4.0,86.0,1.0,1.0,2.0,2.0,6.0,12.0,1.0,4.0,2.0,2.0,1.0,3.0,2009.0,60.0,1.0,8.0,2.0,3.0,3.0,4.0,1,10.0
137,04390302201,4,39,3,22,1,2,1,1,,,,,2.0,1500.0,4.0,65.0,0.0,1.0,2.0,2.0,16.0,24.0,1.0,4.0,2.0,1.0,1.0,11.0,2008.0,240.0,1.0,8.0,4.0,2.0,1.0,5.0,1,1.0
138,04391000302,4,39,10,3,2,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0
139,05400100401,5,40,1,4,1,2,6,1,,,,,7.0,1650.0,4.0,36.0,0.0,1.0,1.0,1.0,9.0,16.0,1.0,4.0,2.0,2.0,1.0,2.0,2009.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2,
140,05400101101,5,40,1,11,1,2,8,3,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
